ID	Structure	Status	Total	020-CKT-1-NeuN-1-18-16_16-01.png	026-CKT-1-AB1-42-1-18-16_16-01.png	032-CKT-1-NeuN-1-18-16_16-02.png	035-CKT-1-Thionine-1-18-16-16-02.png	044-CKT-1-NeuN-1-18-16_16-03.png	047-CKT-1-Thionine-1-18-16-16-03.png	050-CKT-1-AB1-42-1-18-16_16-02.png	052-CKT-1-Iba1-1-18-16-16-02.png	053-CKT-1-GFAP-1-18-16-16-02.png	056-CKT-1-NeuN-1-18-16_16-04.png	059-CKT-1-Thionine-1-18-16-16-04.png	068-CKT-1-NeuN-1-18-16_16-05.png	071-CKT-1-Thionine-1-18-16-16-05.png	074-CKT-1-AB1-42-1-18-16_16-03.png	076-CKT-1-Iba1-1-18-16-16-03.png	077-CKT-1-GFAP-1-18-16-16-03.png	080-CKT-1-NeuN-1-18-16_16-06.png	083-CKT-1-Thionine-1-18-16-16-06.png	092-CKT-1-NeuN-1-18-16_16-07.png	095-CKT-1-Thionine-1-18-16-16-07.png	098-CKT-1-AB1-42-1-18-16_16-04.png	100-CKT-1-Iba1-1-18-16-16-04.png	101-CKT-1-GFAP-1-18-16-16-04.png	104-CKT-1-NeuN-1-18-16_16-08.png	107-CKT-1-Thionine-1-18-16-16-08.png	116-CKT-1-NeuN-1-18-16_16-09.png	119-CKT-1-Thionine-1-18-16-16-09.png	122-CKT-1-AB1-42-1-18-16_16-05.png	124-CKT-1-Iba1-1-18-16-16-05.png	125-CKT-1-GFAP-1-18-16-16-05.png	128-CKT-1-NeuN-1-18-16_16-10.png	131-CKT-1-Thionine-1-18-16-16-10.png	140-CKT-1-NeuN-1-18-16_16-11.png	143-CKT-1-Thionine-1-18-16-16-11.png	146-CKT-1-AB1-42-1-18-16_16-06.png	148-CKT-1-Iba1-1-18-16-16-06.png	149-CKT-1-GFAP-1-18-16-16-06.png	152-CKT-1-NeuN-1-18-16_16-12.png	155-CKT-1-Thionine-1-18-16-16-12.png	164-CKT-1-NeuN-1-18-16_16-13.png	167-CKT-1-Thionine-1-18-16-16-13.png	170-CKT-1-AB1-42-1-18-16_16-07.png	172-CKT-1-Iba1-1-18-16-16-07.png	173-CKT-1-GFAP-1-18-16-16-07.png	176-CKT-1-NeuN-1-18-16_16-14.png	179-CKT-1-Thionine-1-18-16-16-14.png	188-CKT-1-NeuN-1-18-16_16-15.png	191-CKT-1-Thionine-1-18-16-16-15.png	194-CKT-1-AB1-42-1-18-16_16-08.png	196-CKT-1-Iba1-1-18-16-16-08.png	197-CKT-1-GFAP-1-18-16-16-08.png	200-CKT-1-NeuN-1-18-16_16-16.png	203-CKT-1-Thionine-1-18-16-16-16.png	212-CKT-1-NeuN-1-18-16_16-17.png	215-CKT-1-Thionine-1-18-16-16-17.png	218-CKT-1-AB1-42-1-18-16_16-09.png	220-CKT-1-Iba1-1-18-16-16-09.png	221-CKT-1-GFAP-1-18-16-16-09.png	224-CKT-1-NeuN-1-18-16_16-18.png	227-CKT-1-Thionine-1-18-16-16-18.png
8	Basic cell groups and regions	Inaccurate	0																																																												
8	Basic cell groups and regions	Uncertain	0																																																												
8	Basic cell groups and regions	Damaged	0																																																												
567	Cerebrum	N/A	0																																																												
567	Cerebrum	Accurate	0																																																												
567	Cerebrum	Inaccurate	0																																																												
567	Cerebrum	Uncertain	0																																																												
567	Cerebrum	Damaged	0																																																												
688	Cerebral cortex	N/A	0																																																												
688	Cerebral cortex	Accurate	0																																																												
688	Cerebral cortex	Inaccurate	0																																																												
688	Cerebral cortex	Uncertain	0																																																												
688	Cerebral cortex	Damaged	0																																																												
695	Cortical plate	N/A	0																																																												
695	Cortical plate	Accurate	0																																																												
695	Cortical plate	Inaccurate	0																																																												
695	Cortical plate	Uncertain	0																																																												
695	Cortical plate	Damaged	0																																																												
315	Isocortex	N/A	30055	76	232	359	421	563	593	583	563	612	680	669	617	608	541	622	636	639	579	607	598	594	601	624	633	616	653	642	593	597	644	640	605	578	608	535	556	581	593	539	516	492	500	465	508	499	489	497	447	405	413	355	360	316	287	261	234	228	209	183	161
315	Isocortex	Accurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	Isocortex	Inaccurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	Isocortex	Uncertain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	Isocortex	Damaged	99	20	3	4	0	3	1	0	1	0	10	0	0	0	0	0	0	0	0	5	0	11	9	2	0	9	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
698	Olfactory areas	N/A	7232	239	183	243	254	257	305	259	220	280	259	187	136	130	83	70	79	76	78	92	100	95	81	92	124	133	189	179	163	168	174	148	147	157	168	141	160	173	183	190	158	122	108	97	109	81	87	50	25												
698	Olfactory areas	Accurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
698	Olfactory areas	Inaccurate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
698	Olfactory areas	Uncertain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
698	Olfactory areas	Damaged	216	39	23	34	9	46	0	6	47	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0												
1089	Hippocampal formation	N/A	472																																			1	1	1	2	3	2	7	9	17	21	24	12	43	25	17	10	17	21	14	28	43	25	34	38	24	33
1089	Hippocampal formation	Accurate	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1089	Hippocampal formation	Inaccurate	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1089	Hippocampal formation	Uncertain	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1089	Hippocampal formation	Damaged	13																																			0	0	0	0	0	2	1	0	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
1080	Hippocampal region	N/A	0																																																												
1080	Hippocampal region	Accurate	0																																																												
1080	Hippocampal region	Inaccurate	0																																																												
1080	Hippocampal region	Uncertain	0																																																												
1080	Hippocampal region	Damaged	0																																																												
375	Ammon's horn	N/A	4168																															58	70	98	101	128	122	136	149	150	206	306	347	318	336	357	347	253	221	149	128	118	70								
375	Ammon's horn	Accurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
375	Ammon's horn	Inaccurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
375	Ammon's horn	Uncertain	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
375	Ammon's horn	Damaged	5																															0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0								
726	Dentate gyrus	N/A	0																																																												
726	Dentate gyrus	Accurate	0																																																												
726	Dentate gyrus	Inaccurate	0																																																												
726	Dentate gyrus	Uncertain	0																																																												
726	Dentate gyrus	Damaged	0																																																												
10703	Dentate gyrus, molecular layer	N/A	990																															18	18	31	35	38	45	38	46	46	38	32	34	32	34	38	48	84	70	71	69	70	55								
10703	Dentate gyrus, molecular layer	Accurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10703	Dentate gyrus, molecular layer	Inaccurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10703	Dentate gyrus, molecular layer	Uncertain	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10703	Dentate gyrus, molecular layer	Damaged	5																															1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0								
10704	Dentate gyrus, polymorph layer	N/A	258																															3	4	5	7	5	5	7	8	7	5	6	5	3	6	6	6	12	16	41	41	37	23								
10704	Dentate gyrus, polymorph layer	Accurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10704	Dentate gyrus, polymorph layer	Inaccurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10704	Dentate gyrus, polymorph layer	Uncertain	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
10704	Dentate gyrus, polymorph layer	Damaged	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
632	Dentate gyrus, granule cell layer	N/A	415																															9	4	14	16	14	21	19	19	16	15	9	14	14	15	12	19	34	34	28	32	33	24								
632	Dentate gyrus, granule cell layer	Accurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
632	Dentate gyrus, granule cell layer	Inaccurate	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
632	Dentate gyrus, granule cell layer	Uncertain	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
632	Dentate gyrus, granule cell layer	Damaged	0																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
982	Fasciola cinerea	N/A	43																																	6	6	4	5	7	4	3	5	3																			
982	Fasciola cinerea	Accurate	0																																	0	0	0	0	0	0	0	0	0																			
982	Fasciola cinerea	Inaccurate	0																																	0	0	0	0	0	0	0	0	0																			
982	Fasciola cinerea	Uncertain	0																																	0	0	0	0	0	0	0	0	0																			
982	Fasciola cinerea	Damaged	3																																	0	0	0	0	0	1	2	0	0																			
19	Induseum griseum	N/A	11														2	1			1	1	1		1	1	1	1				1																															
19	Induseum griseum	Accurate	0														0	0			0	0	0		0	0	0	0				0																															
19	Induseum griseum	Inaccurate	0														0	0			0	0	0		0	0	0	0				0																															
19	Induseum griseum	Uncertain	0														0	0			0	0	0		0	0	0	0				0																															
19	Induseum griseum	Damaged	0														0	0			0	0	0		0	0	0	0				0																															
822	Retrohippocampal region	N/A	0																																																												
822	Retrohippocampal region	Accurate	0																																																												
822	Retrohippocampal region	Inaccurate	0																																																												
822	Retrohippocampal region	Uncertain	0																																																												
822	Retrohippocampal region	Damaged	0																																																												
909	Entorhinal area	N/A	2731																																			1	2	4	4	9	6	52	67	80	88	99	83	97	117	130	143	124	124	143	232	214	235	210	184	163	120
909	Entorhinal area	Accurate	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909	Entorhinal area	Inaccurate	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909	Entorhinal area	Uncertain	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
909	Entorhinal area	Damaged	0																																			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
843	Parasubiculum	N/A	171																																																					40	34	22	18	21	19	11	6
843	Parasubiculum	Accurate	0																																																					0	0	0	0	0	0	0	0
843	Parasubiculum	Inaccurate	0																																																					0	0	0	0	0	0	0	0
843	Parasubiculum	Uncertain	0																																																					0	0	0	0	0	0	0	0
843	Parasubiculum	Damaged	0																																																					0	0	0	0	0	0	0	0
1037	Postsubiculum	N/A	181																																																	10	13	11	16	39	16	19	13	17	13	11	3
1037	Postsubiculum	Accurate	0																																																	0	0	0	0	0	0	0	0	0	0	0	0
1037	Postsubiculum	Inaccurate	0																																																	0	0	0	0	0	0	0	0	0	0	0	0
1037	Postsubiculum	Uncertain	0																																																	0	0	0	0	0	0	0	0	0	0	0	0
1037	Postsubiculum	Damaged	1																																																	0	1	0	0	0	0	0	0	0	0	0	0
1084	Presubiculum	N/A	157																																																		4	2	3	58	40	18	23	6	3		
1084	Presubiculum	Accurate	0																																																		0	0	0	0	0	0	0	0	0		
1084	Presubiculum	Inaccurate	0																																																		0	0	0	0	0	0	0	0	0		
1084	Presubiculum	Uncertain	0																																																		0	0	0	0	0	0	0	0	0		
1084	Presubiculum	Damaged	0																																																		0	0	0	0	0	0	0	0	0		
502	Subiculum	N/A	986																																								1	21	45	49	50	56	58	91	85	88	104	101	112	125							
502	Subiculum	Accurate	0																																								0	0	0	0	0	0	0	0	0	0	0	0	0	0							
502	Subiculum	Inaccurate	0																																								0	0	0	0	0	0	0	0	0	0	0	0	0	0							
502	Subiculum	Uncertain	0																																								0	0	0	0	0	0	0	0	0	0	0	0	0	0							
502	Subiculum	Damaged	0																																								0	0	0	0	0	0	0	0	0	0	0	0	0	0							
703	Cortical subplate	N/A	393							15	10	17	34	28	2	5	3	5	4	3	4	1	1	1	2	2	2	6	7	1	6	7	5	9	9	8	10	14	12	12	19	18	26	26	21	7	15	9	7														
703	Cortical subplate	Accurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														
703	Cortical subplate	Inaccurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														
703	Cortical subplate	Uncertain	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0														
703	Cortical subplate	Damaged	21							2	10	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0														
583	Claustrum	N/A	133													4	9	9	11	13	7	8	8	7	6	6	7	6	7	5	4	4	3	3	6																												
583	Claustrum	Accurate	0													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												
583	Claustrum	Inaccurate	0													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												
583	Claustrum	Uncertain	0													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												
583	Claustrum	Damaged	0													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												
942	Endopiriform nucleus	N/A	547							1	3	10	8	14	20	12	13	13	13	15	12	11	11	14	11	14	18	16	18	17	20	21	27	16	18	15	16	14	13	14	17	17	22	20	14	8	8		3														
942	Endopiriform nucleus	Accurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0														
942	Endopiriform nucleus	Inaccurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0														
942	Endopiriform nucleus	Uncertain	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0														
942	Endopiriform nucleus	Damaged	4							0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0		0														
131	Lateral amygdalar nucleus	N/A	174																																3	12	13	26	20	21	34	28	17																				
131	Lateral amygdalar nucleus	Accurate	0																																0	0	0	0	0	0	0	0	0																				
131	Lateral amygdalar nucleus	Inaccurate	0																																0	0	0	0	0	0	0	0	0																				
131	Lateral amygdalar nucleus	Uncertain	0																																0	0	0	0	0	0	0	0	0																				
131	Lateral amygdalar nucleus	Damaged	0																																0	0	0	0	0	0	0	0	0																				
295	Basolateral amygdalar nucleus	N/A	456																													4	6	17	25	45	48	37	48	49	43	39	27	14	16	13	16	9															
295	Basolateral amygdalar nucleus	Accurate	0																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
295	Basolateral amygdalar nucleus	Inaccurate	0																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
295	Basolateral amygdalar nucleus	Uncertain	0																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
295	Basolateral amygdalar nucleus	Damaged	1																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0															
319	Basomedial amygdalar nucleus	N/A	270																									3	5	4	4	7	7	22	27	24	18	18	25	25	23	27	13	5	4	3	3	3															
319	Basomedial amygdalar nucleus	Accurate	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
319	Basomedial amygdalar nucleus	Inaccurate	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
319	Basomedial amygdalar nucleus	Uncertain	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
319	Basomedial amygdalar nucleus	Damaged	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															
780	Posterior amygdalar nucleus	N/A	58																																								17	12	6	7	4	6	6														
780	Posterior amygdalar nucleus	Accurate	0																																								0	0	0	0	0	0	0														
780	Posterior amygdalar nucleus	Inaccurate	0																																								0	0	0	0	0	0	0														
780	Posterior amygdalar nucleus	Uncertain	0																																								0	0	0	0	0	0	0														
780	Posterior amygdalar nucleus	Damaged	1																																								0	0	0	1	0	0	0														
623	Cerebral nuclei	N/A	0																																																												
623	Cerebral nuclei	Accurate	0																																																												
623	Cerebral nuclei	Inaccurate	0																																																												
623	Cerebral nuclei	Uncertain	0																																																												
623	Cerebral nuclei	Damaged	0																																																												
477	Striatum	N/A	877										8	33	31	34	27	42	27	45	34	56	20	62	49	57	69	57	19	20	27	12	9	13	12	16	19	15	23	17	16	8																					
477	Striatum	Accurate	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
477	Striatum	Inaccurate	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
477	Striatum	Uncertain	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
477	Striatum	Damaged	52										0	0	0	0	0	5	0	0	0	1	0	4	20	0	10	6	1	0	0	0	0	0	0	1	2	0	1	0	1	0																					
485	Striatum dorsal region	N/A	0																																																												
485	Striatum dorsal region	Accurate	0																																																												
485	Striatum dorsal region	Inaccurate	0																																																												
485	Striatum dorsal region	Uncertain	0																																																												
485	Striatum dorsal region	Damaged	0																																																												
672	Caudoputamen	N/A	5737												114	173	206	217	232	272	293	358	365	352	322	358	354	348	224	236	179	188	191	146	131	77	90	70	71	62	59	49																					
672	Caudoputamen	Accurate	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
672	Caudoputamen	Inaccurate	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
672	Caudoputamen	Uncertain	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
672	Caudoputamen	Damaged	37												0	0	0	0	0	0	0	0	0	1	10	0	2	1	11	0	2	3	0	0	0	1	1	0	5	0	0	0																					
493	Striatum ventral region	N/A	0																																																												
493	Striatum ventral region	Accurate	0																																																												
493	Striatum ventral region	Inaccurate	0																																																												
493	Striatum ventral region	Uncertain	0																																																												
493	Striatum ventral region	Damaged	0																																																												
56	Nucleus accumbens	N/A	1159										8	59	133	159	137	170	169	189	135																																										
56	Nucleus accumbens	Accurate	0										0	0	0	0	0	0	0	0	0																																										
56	Nucleus accumbens	Inaccurate	0										0	0	0	0	0	0	0	0	0																																										
56	Nucleus accumbens	Uncertain	0										0	0	0	0	0	0	0	0	0																																										
56	Nucleus accumbens	Damaged	0										0	0	0	0	0	0	0	0	0																																										
998	Fundus of striatum	N/A	109																			6	26	17	16	19	12	9	4																																		
998	Fundus of striatum	Accurate	0																			0	0	0	0	0	0	0	0																																		
998	Fundus of striatum	Inaccurate	0																			0	0	0	0	0	0	0	0																																		
998	Fundus of striatum	Uncertain	0																			0	0	0	0	0	0	0	0																																		
998	Fundus of striatum	Damaged	0																			0	0	0	0	0	0	0	0																																		
754	Olfactory tubercle	N/A	994							4	20	32	46	79	89	101	89	84	87	83	65	47	38	35	37	41	17																																				
754	Olfactory tubercle	Accurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																				
754	Olfactory tubercle	Inaccurate	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																				
754	Olfactory tubercle	Uncertain	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																				
